order_id,order_time,item_count,weather,zone_id,zone_name,rider_id,rider_name,distance_km,picking_minutes,delivery_minutes,is_peak,sla_met
1000,"2025-01-01 15:05:00",6,Normal,3,"Saibaba Colony",109,Muthukumar,4.81,6,6,0,1
1001,"2025-01-01 05:11:00",7,Rain,7,Saravanampatti,101,"Arun Kumar",2.98,4,11,0,1
1002,"2025-01-01 12:19:00",2,Rain,2,"RS Puram",105,Prakash,3.99,5,14,0,1
1003,"2025-01-01 22:04:00",7,Normal,8,"Avinashi Road",107,Ramesh,5.01,6,10,1,1
1004,"2025-01-01 18:31:00",4,Normal,3,"Saibaba Colony",108,Senthil,4.62,3,12,1,1
1005,"2025-01-01 09:54:00",5,Normal,2,"RS Puram",108,Senthil,3.04,5,7,0,1
1006,"2025-01-01 05:38:00",6,Normal,1,Gandhipuram,110,Naveen,1.26,4,7,0,1
1007,"2025-01-01 09:00:00",6,Rain,6,Singanallur,108,Senthil,3.94,3,12,0,1
1008,"2025-01-01 17:08:00",7,Normal,4,Peelamedu,110,Naveen,3.34,3,12,0,1
1009,"2025-01-01 12:37:00",1,Normal,3,"Saibaba Colony",107,Ramesh,1.65,2,10,0,1
1010,"2025-01-01 22:29:00",4,Normal,4,Peelamedu,110,Naveen,4.16,5,7,1,1
1011,"2025-01-01 11:56:00",1,Normal,6,Singanallur,106,Manikandan,1.51,4,14,0,1
1012,"2025-01-01 20:44:00",1,Rain,5,Ukkadam,105,Prakash,5.47,3,16,1,0
1013,"2025-01-01 13:32:00",7,Normal,1,Gandhipuram,105,Prakash,3.68,4,14,0,1
1014,"2025-01-01 19:11:00",3,Normal,4,Peelamedu,103,Karthikeyan,4.95,3,14,1,1
1015,"2025-01-01 19:30:00",2,Normal,7,Saravanampatti,103,Karthikeyan,4.5,4,15,1,1
1016,"2025-01-01 14:02:00",8,Normal,4,Peelamedu,104,Vignesh,2.28,6,5,0,1
1017,"2025-01-01 14:09:00",4,Normal,5,Ukkadam,105,Prakash,4.15,3,6,0,1
1018,"2025-01-01 16:23:00",6,Normal,4,Peelamedu,109,Muthukumar,4.77,3,6,0,1
1019,"2025-01-01 23:29:00",2,Normal,5,Ukkadam,107,Ramesh,2.72,3,5,0,1
